Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
138,429.5533254999999,0.005239674999984345,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,29,,,,,,,,,
139,429.636849975,0.08352447500010385,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
140,429.6536427,0.01679272499995932,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,24,,,,,,,,,
141,429.721606225,0.06796352499998193,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
142,429.73464755,0.01304132500001742,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
143,429.7540259499999,0.01937839999993684,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1D,,,,,,,,,
144,429.79786715,0.04384120000008806,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
145,429.853332425,0.05546527499996046,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1D,,,,,,,,,
146,429.87045905,0.0171266250000599,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,1D,00,01,00,52,07,01,,,
147,429.87072115,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,68,2C,2C,3C,11,B3,,,
148,429.87095525,0.0002340999999432824,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,D3,13,45,,,
149,429.87339515,0.00243990000001304,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
150,429.8858122749999,0.01241712499995628,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,0E,0F,00,00,13,39,2F,00,,,
151,429.9340790499999,0.04826677500000187,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
152,429.94751835,0.01343930000007276,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
153,429.953708025,0.006189674999973249,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
154,430.029666925,0.07595890000004601,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
155,430.05403095,0.02436402499995438,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,18,,,,,,,,,
156,430.107095525,0.05306457500000761,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
157,430.1373896,0.0302940750000289,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
158,430.153372375,0.01598277499999767,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,17,,,,,,,,,
159,430.184058375,0.03068599999994604,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
160,430.25372245,0.0696640749999915,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,17,,,,,,,,,
161,430.259586175,0.005863725000040176,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
162,430.33427915,0.07469297499994809,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
163,430.3373931499999,0.003113999999982298,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
164,430.411112275,0.07371912500002509,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
165,430.485805275,0.07469300000002477,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
166,430.539269775,0.05346450000001823,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
167,430.5452695,0.00599972500003787,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
168,430.562770325,0.01750082499995642,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
169,430.628494725,0.06572440000002189,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
170,430.638298225,0.00980349999997543,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
171,430.715589025,0.07729080000001431,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
172,430.728784125,0.01319509999996171,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,14,,,,,,,,,
173,430.73940155,0.01061742500007767,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
174,430.78995225,0.05055069999991701,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
175,430.82914695,0.03919470000005276,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,0B,,,,,,,,,
176,430.86808245,0.03893549999997958,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
