Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
65,-111.9659063,0.02794377500001133,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7A,,,,,,,,,
66,-111.9049463,0.06095999999999435,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
67,-111.865559425,0.03938687500000526,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7C,,,,,,,,,
68,-111.84418475,0.02137467499998991,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,97,31,,,,,,,,,
69,-111.82015025,0.02403449999999907,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
70,-111.76622265,0.05392760000000862,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,86,,,,,,,,,
71,-111.741646175,0.02457647499998928,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
72,-111.666983,0.07466317500001196,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
73,-111.6430845,0.02389850000000138,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,9A,2E,,,,,,,,,
74,-111.588947925,0.05413657500000113,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
75,-111.5132809,0.07566702499998712,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
76,-111.4688745,0.04440639999999974,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7D,,,,,,,,,
77,-111.4428761,0.02599840000000597,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,9A,2E,,,,,,,,,
78,-111.4188356,0.02404049999999814,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
79,-111.369963525,0.04887207500000557,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7D,,,,,,,,,
80,-111.34033535,0.02962817499999914,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
81,-111.26960525,0.07073009999999158,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7C,,,,,,,,,
82,-111.265249475,0.004355775000007611,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
83,-111.24134485,0.02390462500000012,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,98,30,,,,,,,,,
84,-111.19053615,0.05080870000000459,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
85,-111.170287625,0.02024852499999952,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7D,,,,,,,,,
86,-111.11505725,0.05523037499999361,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
87,-111.069908875,0.04514837499999658,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7C,,,,,,,,,
88,-111.0610396,0.008869275000009225,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,7C,00,00,00,FE,07,01,,,
89,-111.0607795,0.0002600999999913256,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,50,08,2C,3C,08,76,,,
90,-111.0605414,0.0002381000000042377,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,60,13,45,,,
91,-111.0450126,0.01552879999999846,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,0A,7F,01,04,14,0A,16,00,,,
92,-111.023561925,0.02145067499999698,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,98,30,,,,,,,,,
93,-111.020052025,0.003509899999997401,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
94,-110.9695902,0.05046182499999929,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,75,,,,,,,,,
95,-110.933898425,0.03569177500000364,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
96,-110.870245825,0.06365259999999751,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7F,,,,,,,,,
97,-110.85881635,0.01142947499999991,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
98,-110.82161275,0.03720360000001222,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,95,33,,,,,,,,,
