GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3647487,196.72,197.1,202.08,90.1,196.23,4.202,0.171,-0.004,3,2.2,1.38,0,1.31,0,48,137,143,44.39709091,-110.5309067,9.1,41.77,0,3647237,0
3647537,196.72,196.1,202.08,90.1,196.24,4.226,0.076,0.011,3,2.2,1.38,0,1.31,0,48,137,143,44.39709091,-110.5309067,9.1,41.77,0,3647287,0
3647587,196.72,196.1,202.08,90.8,196.24,4.25,-0.012,0.007,3,2.2,1.38,0,1.32,0,48,137,143,44.39709091,-110.5309067,9.1,41.77,0,3647337,0
3647637,196.72,196.1,202.08,90.8,196.23,4.275,-0.088,-0.011,2,2.2,1.38,0,1.32,0,48,138,142,44.39709091,-110.5309067,9.1,41.77,0,3647387,0
3647687,196.72,196.1,202.08,90.8,196.2,4.301,-0.283,-0.062,1,2.2,1.38,0,1.32,0,48,139,141,44.39709091,-110.5309067,9.1,41.77,0,3647437,0
3647737,196.72,197.2,202.08,90.8,196.18,4.328,-0.309,-0.109,0,2.2,1.38,0,1.32,0,48,140,140,44.3970871,-110.5309067,9.1,41.77,0,3647487,0
3647787,196.72,197.2,202.08,91.2,196.15,4.356,-0.412,-0.166,0,2.2,1.38,0,1.33,0,48,140,140,44.3970871,-110.5309067,9.1,41.77,0,3647537,0
3647837,196.72,197.2,202.08,91.2,196.12,4.386,-0.531,-0.235,-2,2.2,1.38,0,1.33,0,48,142,138,44.3970871,-110.5309067,9.1,41.77,0,3647587,0
3647887,196.72,197.2,202.08,91.2,196.09,4.417,-0.718,-0.327,-4,2.2,1.38,0,1.33,0,48,144,136,44.3970871,-110.5309067,9.1,41.77,0,3647637,0
3647937,196.72,195.7,202.08,91.2,196.05,4.45,-0.798,-0.415,-6,2.2,1.38,0,1.33,0,48,146,134,44.3970871,-110.5309067,9.1,41.77,0,3647687,0
3647987,196.72,195.7,202.08,90.8,196.02,4.485,-0.924,-0.51,-8,2.2,1.38,0,1.34,0,48,148,132,44.3970871,-110.5309067,9.1,41.77,0,3647737,0
3648037,196.72,195.7,202.08,90.8,196,4.521,-0.954,-0.594,-10,2.2,1.38,0,1.34,0,48,150,130,44.3970871,-110.5309067,9.1,41.77,0,3647787,0
3648087,196.72,195.7,202.08,90.8,195.99,4.558,-0.977,-0.665,-12,2.2,1.38,0,1.34,0,48,152,128,44.3970871,-110.5309067,9.1,41.77,0,3647837,0
3648137,196.72,197.2,202.08,90.8,196,4.594,-0.943,-0.718,-13,2.2,1.38,0,1.34,0,48,153,127,44.3970871,-110.5309143,9.1,41.77,0,3647887,0
3648187,196.72,197.2,202.08,90.9,196,4.63,-1.042,-0.78,-15,2.2,1.38,0,1.34,0,48,155,125,44.3970871,-110.5309143,9.1,41.77,0,3647937,0
3648237,196.72,197.2,202.08,90.9,196.02,4.665,-0.95,-0.812,-16,2.2,1.38,0,1.35,0,48,156,124,44.3970871,-110.5309143,9.1,41.77,0,3647987,0
3648287,196.72,197.2,202.08,91,196.05,4.698,-0.931,-0.835,-16,2.2,1.38,0,1.35,0,48,156,124,44.3970871,-110.5309143,9.1,41.77,0,3648037,0
3648337,196.72,198.9,202.08,91,196.09,4.73,-0.866,-0.842,-17,2.2,1.38,0,1.35,0,48,157,123,44.39708328,-110.5309143,9.1,41.77,0,3648087,0
3648387,196.72,198.9,202.08,90.7,196.14,4.758,-0.763,-0.829,-16,2.2,1.38,0,1.35,0,48,156,124,44.39708328,-110.5309143,9.1,41.77,0,3648137,0
3648437,196.72,198.9,202.08,90.7,196.2,4.784,-0.699,-0.806,-16,2.2,1.38,0,1.35,0,48,156,124,44.39708328,-110.5309143,9.1,41.77,0,3648187,0
3648487,196.72,198.9,202.08,90.9,196.27,4.807,-0.504,-0.75,-15,2.2,1.38,0,1.35,0,48,155,125,44.39708328,-110.5309143,9.1,41.77,0,3648237,0
3648537,196.72,196.6,202.08,90.9,196.35,4.825,-0.405,-0.686,-14,2.2,1.38,0,1.35,0,48,154,126,44.39708328,-110.5309143,9.1,41.77,0,3648287,0
3648587,196.72,196.6,202.08,90.7,196.44,4.84,-0.157,-0.586,-12,2.2,1.38,0,1.35,0,48,152,128,44.39708328,-110.5309143,9.1,41.77,0,3648337,0
3648637,196.72,196.6,202.08,90.7,196.52,4.849,-0.039,-0.483,-9,2.2,1.38,0,1.36,0,48,149,131,44.39708328,-110.5309143,9.1,41.77,0,3648387,0
