GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3938337,319.27,325.6,293.1,196.6,319.8,34.379,-0.985,-0.979,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39580917,-110.5332184,9.1,41.77,0,3938087,10
3938387,319.32,325.6,293.1,196.6,319.87,34.157,-0.859,-0.96,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39580917,-110.5332184,9.1,41.77,0,3938137,10
3938437,319.37,325.6,293.1,194,319.94,33.932,-0.782,-0.929,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39580917,-110.5332184,9.1,41.77,0,3938187,10
3938487,319.42,325.6,293.1,194,320.01,33.705,-0.733,-0.895,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39580917,-110.5332184,9.1,41.77,0,3938237,10
3938537,319.47,327.4,293.1,193.4,320.08,33.475,-0.653,-0.853,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39581299,-110.5332184,9.1,41.77,0,3938287,10
3938587,319.52,327.4,293.1,193.4,320.17,33.242,-0.477,-0.786,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39581299,-110.5332184,9.1,41.77,0,3938337,10
3938637,319.57,327.4,293.1,193.4,320.25,33.006,-0.412,-0.719,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39581299,-110.5332184,9.1,41.77,0,3938387,10
3938687,319.62,327.4,293.1,193.4,320.32,32.769,-0.428,-0.668,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39581299,-110.5332184,9.1,41.77,0,3938437,10
3938737,319.67,326.6,293.1,192,320.39,32.53,-0.412,-0.623,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39581299,-110.5332184,9.1,41.77,0,3938487,10
3938787,319.72,326.6,293.1,192,320.43,32.291,-0.55,-0.612,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39581299,-110.5332184,9.1,41.77,0,3938537,10
3938837,319.77,326.6,293.1,193.4,320.46,32.053,-0.676,-0.627,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39581299,-110.5332184,9.1,41.77,0,3938587,10
3938887,319.82,326.6,293.1,193.4,320.49,31.815,-0.679,-0.64,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39581299,-110.5332184,9.1,41.77,0,3938637,10
3938937,319.87,325.4,293.1,193.4,320.51,31.577,-0.71,-0.655,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.3958168,-110.5332184,9.1,41.77,0,3938687,10
3938987,319.92,325.4,293.1,193.4,320.54,31.339,-0.748,-0.675,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.3958168,-110.5332184,9.1,41.77,0,3938737,10
3939037,319.97,325.4,293.1,192.2,320.56,31.101,-0.79,-0.699,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.3958168,-110.5332184,9.1,41.77,0,3938787,10
3939087,320.02,325.4,293.1,192.2,320.59,30.863,-0.775,-0.716,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.3958168,-110.5332184,9.1,41.77,0,3938837,10
3939137,320.07,323.6,293.1,190.5,320.63,30.624,-0.691,-0.712,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.3958168,-110.5332184,9.1,41.77,0,3938887,10
3939187,320.12,323.6,293.1,190.5,320.68,30.382,-0.615,-0.695,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.3958168,-110.5332184,9.1,41.77,0,3938937,10
3939237,320.17,323.6,293.1,192,320.73,30.139,-0.546,-0.669,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.3958168,-110.5332184,9.1,41.77,0,3938987,10
3939287,320.22,323.6,293.1,192,320.79,29.894,-0.508,-0.64,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.3958168,-110.5332184,9.1,41.77,0,3939037,10
3939337,320.27,326.3,293.1,194.6,320.83,29.649,-0.538,-0.623,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.3958168,-110.533226,9.1,41.77,0,3939087,10
3939387,320.32,326.3,293.1,194.6,320.87,29.403,-0.599,-0.622,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.3958168,-110.533226,9.1,41.77,0,3939137,10
3939437,320.37,326.3,293.1,198,320.88,29.158,-0.824,-0.662,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.3958168,-110.533226,9.1,41.77,0,3939187,10
3939487,320.42,326.3,293.1,198,320.89,28.916,-0.897,-0.709,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.3958168,-110.533226,9.1,41.77,0,3939237,10
3939537,320.47,328.9,293.1,198,320.9,28.677,-1.049,-0.777,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39582062,-110.533226,9.1,41.77,0,3939287,10
3939587,320.52,328.9,293.1,198,321.01,28.435,-0.153,-0.663,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39582062,-110.533226,9.1,41.77,0,3939337,10
3939637,320.57,328.9,293.1,197.6,320.99,28.197,-1.202,-0.768,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39582062,-110.533226,9.1,41.77,0,3939387,10
3939687,320.62,328.9,293.1,197.6,320.99,27.963,-1.221,-0.857,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39582062,-110.533226,9.1,41.77,0,3939437,10
3939737,320.67,324.6,293.1,197,320.99,27.731,-1.275,-0.937,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39582062,-110.533226,9.1,41.77,0,3939487,10
3939787,320.72,324.6,293.1,197,321.01,27.499,-1.175,-0.984,-17,2.2,2.2,2.3,2.2,0,48,147,133,44.39582062,-110.533226,9.1,41.77,0,3939537,10
3939837,320.77,324.6,293.1,197,321.04,27.269,-1.198,-1.026,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39582062,-110.533226,9.1,41.77,0,3939587,10
3939887,320.82,324.6,293.1,197,321.09,27.038,-1.095,-1.041,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39582062,-110.533226,9.1,41.77,0,3939637,10
3939937,320.87,328,293.1,195.5,321.14,26.806,-1.046,-1.045,-19,2.2,2.2,2.3,2.2,0,48,149,131,44.39582443,-110.533226,9.1,41.77,0,3939687,10
3939987,320.92,328,293.1,195.5,321.21,26.572,-0.901,-1.021,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39582443,-110.533226,9.1,41.77,0,3939737,10
3940037,320.97,328,293.1,195.5,321.29,26.336,-0.847,-0.992,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39582443,-110.533226,9.1,41.77,0,3939787,10
3940087,321.02,328,293.1,195.5,321.36,26.097,-0.79,-0.957,-17,2.2,2.2,2.3,2.2,0,48,147,133,44.39582443,-110.533226,9.1,41.77,0,3939837,10
3940137,321.07,328.9,293.1,199,321.43,25.856,-0.809,-0.933,-17,2.2,2.2,2.3,2.2,0,48,147,133,44.39582443,-110.533226,9.1,41.77,0,3939887,10
3940187,321.12,328.9,293.1,199,321.5,25.613,-0.798,-0.911,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39582443,-110.533226,9.1,41.77,0,3939937,10
3940237,321.17,328.9,293.1,198,321.57,25.368,-0.676,-0.87,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39582443,-110.533226,9.1,41.77,0,3939987,10
3940287,321.22,328.9,293.1,198,321.63,25.121,-0.756,-0.852,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39582443,-110.533226,9.1,41.77,0,3940037,10
3940337,321.27,334.3,293.1,198,321.68,24.874,-0.821,-0.852,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39582825,-110.533226,9.1,41.77,0,3940087,10
3940387,321.32,334.3,293.1,198,321.74,24.625,-0.798,-0.848,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39582825,-110.533226,9.1,41.77,0,3940137,10
3940437,321.37,334.3,293.1,197.1,321.8,24.375,-0.771,-0.84,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39582825,-110.533226,9.1,41.77,0,3940187,10
3940487,321.42,334.3,293.1,197.1,321.86,24.122,-0.737,-0.826,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39582825,-110.533226,9.1,41.77,0,3940237,10
3940537,321.47,332.5,293.1,197,321.92,23.866,-0.683,-0.804,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39582825,-110.533226,9.1,41.77,0,3940287,10
3940587,321.52,332.5,293.1,197,321.99,23.608,-0.584,-0.768,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39582825,-110.533226,9.1,41.77,0,3940337,10
3940637,321.57,332.5,293.1,199.3,322.06,23.345,-0.515,-0.726,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39582825,-110.533226,9.1,41.77,0,3940387,10
3940687,321.62,332.5,293.1,199.3,322.14,23.079,-0.432,-0.675,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39582825,-110.533226,9.1,41.77,0,3940437,10
3940737,321.67,327.5,293.1,198.9,322.2,22.81,-0.447,-0.635,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39582825,-110.5332336,9.1,41.77,0,3940487,10
3940787,321.72,327.5,293.1,198.9,322.27,22.539,-0.298,-0.574,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39582825,-110.5332336,9.1,41.77,0,3940537,10
3940837,321.77,327.5,293.1,196.9,322.32,22.266,-0.401,-0.544,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39582825,-110.5332336,9.1,41.77,0,3940587,10
3940887,321.82,327.5,293.1,196.9,322.37,21.991,-0.359,-0.512,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39582825,-110.5332336,9.1,41.77,0,3940637,10
3940937,321.87,329.7,293.1,196.9,322.41,21.717,-0.382,-0.491,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39583206,-110.5332336,9.1,41.77,0,3940687,10
3940987,321.92,329.7,293.1,196.9,322.45,21.443,-0.386,-0.475,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39583206,-110.5332336,9.1,41.77,0,3940737,10
3941037,321.97,329.7,293.1,198,322.48,21.17,-0.451,-0.474,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39583206,-110.5332336,9.1,41.77,0,3940787,10
3941087,322.02,329.7,293.1,198,322.51,20.899,-0.496,-0.481,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39583206,-110.5332336,9.1,41.77,0,3940837,10
3941137,322.07,329,293.1,198.8,322.52,20.629,-0.63,-0.512,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39583588,-110.5332336,9.1,41.77,0,3940887,10
3941187,322.12,329,293.1,198.8,322.52,20.362,-0.813,-0.572,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39583588,-110.5332336,9.1,41.77,0,3940937,10
3941237,322.17,329,293.1,196.9,322.51,20.098,-0.977,-0.651,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39583588,-110.5332336,9.1,41.77,0,3940987,10
3941287,322.22,329,293.1,196.9,322.51,19.835,-0.958,-0.712,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39583588,-110.5332336,9.1,41.77,0,3941037,10
3941337,322.27,331.9,293.1,198.7,322.53,19.572,-0.893,-0.75,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39583588,-110.5332336,9.1,41.77,0,3941087,10
3941387,322.32,331.9,293.1,198.7,322.57,19.309,-0.874,-0.778,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39583588,-110.5332336,9.1,41.77,0,3941137,10
3941437,322.37,331.9,293.1,199.4,322.61,19.044,-0.798,-0.786,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39583588,-110.5332336,9.1,41.77,0,3941187,10
3941487,322.42,331.9,293.1,199.4,322.66,18.777,-0.721,-0.779,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39583588,-110.5332336,9.1,41.77,0,3941237,10
3941537,322.47,328.4,293.1,200.7,322.72,18.507,-0.603,-0.748,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39583969,-110.5332336,9.1,41.77,0,3941287,10
3941587,322.52,328.4,293.1,200.7,322.79,18.234,-0.5,-0.704,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39583969,-110.5332336,9.1,41.77,0,3941337,10
3941637,322.57,328.4,293.1,200.7,322.86,17.957,-0.39,-0.648,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39583969,-110.5332336,9.1,41.77,0,3941387,10
3941687,322.62,328.4,293.1,200.7,322.92,17.678,-0.39,-0.602,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39583969,-110.5332336,9.1,41.77,0,3941437,10
3941737,322.67,323.6,293.1,199.7,322.97,17.393,-0.462,-0.576,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39583969,-110.5332336,9.1,41.77,0,3941487,10
3941787,322.72,323.6,293.1,199.7,323,17.109,-0.565,-0.574,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39583969,-110.5332336,9.1,41.77,0,3941537,10
3941837,322.77,323.6,293.1,198.4,323.02,16.826,-0.615,-0.582,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39583969,-110.5332336,9.1,41.77,0,3941587,10
3941887,322.82,323.6,293.1,198.4,323.03,16.546,-0.76,-0.616,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39583969,-110.5332336,9.1,41.77,0,3941637,10
3941937,322.87,326.9,293.1,198.4,323.04,16.268,-0.84,-0.66,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39584351,-110.5332336,9.1,41.77,0,3941687,10
3941987,322.92,326.9,293.1,198.4,323.06,15.994,-0.874,-0.702,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39584351,-110.5332336,9.1,41.77,0,3941737,10
3942037,322.97,326.9,293.1,198.7,323.06,15.726,-1.019,-0.763,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39584351,-110.5332336,9.1,41.77,0,3941787,10
3942087,323.02,326.9,293.1,198.7,323.07,15.46,-1.099,-0.828,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39584351,-110.5332336,9.1,41.77,0,3941837,10
3942137,323.07,328.7,293.1,198,323.08,15.195,-1.152,-0.892,-17,2.2,2.2,2.3,2.2,0,48,147,133,44.39584351,-110.5332336,9.1,41.77,0,3941887,10
3942187,323.12,328.7,293.1,198,323.1,14.929,-1.118,-0.937,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39584351,-110.5332336,9.1,41.77,0,3941937,10
3942237,323.17,328.7,293.1,198.4,323.15,14.662,-0.969,-0.946,-19,2.2,2.2,2.3,2.2,0,48,149,131,44.39584351,-110.5332336,9.1,41.77,0,3941987,10
3942287,323.22,328.7,293.1,198.4,323.21,14.393,-0.863,-0.933,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39584351,-110.5332336,9.1,41.77,0,3942037,10
3942337,323.27,333.3,293.1,198.4,323.28,14.121,-0.748,-0.903,-18,2.2,2.2,2.3,2.2,0,48,148,132,44.39584351,-110.5332336,9.1,41.77,0,3942087,10
3942387,323.32,333.3,293.1,198.4,323.37,13.847,-0.538,-0.839,-17,2.2,2.2,2.3,2.2,0,48,147,133,44.39584351,-110.5332336,9.1,41.77,0,3942137,10
3942437,323.37,333.3,293.1,198.8,323.46,13.569,-0.416,-0.764,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39584351,-110.5332336,9.1,41.77,0,3942187,10
3942487,323.42,333.3,293.1,198.8,323.56,13.289,-0.279,-0.678,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39584351,-110.5332336,9.1,41.77,0,3942237,10
3942537,323.47,331.1,293.1,203.1,323.63,13.009,-0.374,-0.624,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39584351,-110.5332336,9.1,41.77,0,3942287,10
3942587,323.52,331.1,293.1,203.1,323.69,12.73,-0.378,-0.582,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39584351,-110.5332336,9.1,41.77,0,3942337,10
3942637,323.57,331.1,293.1,202.6,323.74,12.453,-0.412,-0.553,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39584351,-110.5332336,9.1,41.77,0,3942387,10
3942687,323.62,331.1,293.1,202.6,323.79,12.18,-0.363,-0.521,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39584351,-110.5332336,9.1,41.77,0,3942437,10
3942737,323.67,331.3,293.1,204.4,323.83,11.91,-0.466,-0.514,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39584732,-110.5332336,9.1,41.77,0,3942487,10
3942787,323.72,331.3,293.1,204.4,323.87,11.644,-0.401,-0.497,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39584732,-110.5332336,9.1,41.77,0,3942537,10
3942837,323.77,331.3,293.1,204.5,323.89,11.382,-0.531,-0.507,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39584732,-110.5332336,9.1,41.77,0,3942587,10
3942887,323.82,331.3,293.1,204.5,323.91,11.124,-0.607,-0.529,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39584732,-110.5332336,9.1,41.77,0,3942637,10
3942937,323.87,334.4,293.1,204.5,323.93,10.871,-0.668,-0.56,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39584732,-110.5332413,9.1,41.77,0,3942687,10
3942987,323.92,334.4,293.1,204.5,323.95,10.621,-0.748,-0.6,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39584732,-110.5332413,9.1,41.77,0,3942737,10
3943037,323.97,334.4,293.1,204.5,323.97,10.374,-0.76,-0.635,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39584732,-110.5332413,9.1,41.77,0,3942787,10
3943087,324.02,334.4,293.1,206.5,323.99,10.129,-0.79,-0.669,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39584732,-110.5332413,9.1,41.77,0,3942837,10
3943137,324.07,328,293.1,206.5,324.02,9.885,-0.763,-0.689,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39585114,-110.5332413,9.1,41.77,0,3942887,10
3943187,324.12,328,293.1,206.5,324.04,9.642,-0.817,-0.715,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39585114,-110.5332413,9.1,41.77,0,3942937,10
3943237,324.17,328,293.1,206.5,324.07,9.398,-0.828,-0.738,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585114,-110.5332413,9.1,41.77,0,3942987,10
3943287,324.22,328,293.1,205.3,324.09,9.153,-0.859,-0.763,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585114,-110.5332413,9.1,41.77,0,3943037,10
3943337,324.27,328.6,293.1,205.3,324.13,8.907,-0.828,-0.777,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39585114,-110.5332413,9.1,41.77,0,3943087,10
3943387,324.32,328.6,293.1,204.8,324.16,8.658,-0.809,-0.785,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39585114,-110.5332413,9.1,41.77,0,3943137,10
3943437,324.37,328.6,293.1,204.8,324.21,8.403,-0.74,-0.779,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39585114,-110.5332413,9.1,41.77,0,3943187,10
3943487,324.42,328.6,293.1,202,324.26,8.148,-0.71,-0.768,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39585114,-110.5332413,9.1,41.77,0,3943237,10
3943537,324.47,335.2,293.1,202,324.31,7.891,-0.744,-0.769,-16,2.2,2.2,2.3,2.2,0,48,146,134,44.39585495,-110.5332413,9.1,41.77,0,3943287,10
3943587,324.52,335.2,293.1,201.3,324.36,7.634,-0.664,-0.754,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943337,10
3943637,324.57,335.2,293.1,201.3,324.41,7.376,-0.695,-0.748,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943387,10
3943687,324.62,335.2,293.1,200.8,324.46,7.118,-0.702,-0.745,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943437,10
3943737,324.67,330.9,293.1,200.8,324.52,6.861,-0.641,-0.728,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943487,10
3943787,324.72,330.9,293.1,203.5,324.55,6.605,-0.74,-0.734,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943537,10
3943837,324.77,330.9,293.1,203.5,324.6,6.349,-0.714,-0.733,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943587,10
3943887,324.82,330.9,293.1,203.5,324.66,6.094,-0.557,-0.703,-15,2.2,2.2,2.3,2.2,0,48,145,135,44.39585495,-110.5332413,9.1,41.77,0,3943637,10
3943937,324.87,328.7,293.1,203.5,324.71,5.84,-0.592,-0.684,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39585495,-110.5332413,9.1,41.77,0,3943687,10
3943987,324.92,328.7,293.1,201.5,324.76,5.588,-0.55,-0.661,-14,2.2,2.2,2.3,2.2,0,48,144,136,44.39585495,-110.5332413,9.1,41.77,0,3943737,10
3944037,324.97,328.7,293.1,201.5,324.8,5.337,-0.538,-0.64,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39585495,-110.5332413,9.1,41.77,0,3943787,10
3944087,325.02,328.7,293.1,203.7,324.85,5.088,-0.519,-0.619,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39585495,-110.5332413,9.1,41.77,0,3943837,10
3944137,325.07,334.7,293.1,203.7,324.89,4.841,-0.557,-0.612,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39585495,-110.5332413,9.1,41.77,0,3943887,10
3944187,325.12,334.7,293.1,205,324.94,4.595,-0.573,-0.609,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39585495,-110.5332413,9.1,41.77,0,3943937,10
3944237,325.17,334.7,293.1,205,324.97,4.351,-0.58,-0.609,-13,2.2,2.2,2.3,2.2,0,48,143,137,44.39585495,-110.5332413,9.1,41.77,0,3943987,10
3944287,325.22,334.7,293.1,208,325.02,4.108,-0.546,-0.601,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39585495,-110.5332413,9.1,41.77,0,3944037,10
3944337,325.27,329.5,293.1,208,325.06,3.867,-0.554,-0.595,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39585495,-110.5332413,9.1,41.77,0,3944087,10
3944387,325.32,329.5,293.1,206.5,325.1,3.626,-0.477,-0.575,-12,2.2,2.2,2.3,2.2,0,48,142,138,44.39585495,-110.5332413,9.1,41.77,0,3944137,10
3944437,325.37,329.5,293.1,206.5,325.15,3.387,-0.432,-0.55,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39585495,-110.5332413,9.1,41.77,0,3944187,10
3944487,325.42,329.5,293.1,209.5,325.19,3.148,-0.393,-0.523,-11,2.2,2.2,2.3,2.2,0,48,141,139,44.39585495,-110.5332413,9.1,41.77,0,3944237,10
3944537,325.47,330.2,293.1,209.5,325.23,2.909,-0.42,-0.506,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39585876,-110.5332413,9.1,41.77,0,3944287,10
3944587,325.52,330.2,293.1,205.8,325.28,2.671,-0.298,-0.469,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39585876,-110.5332413,9.1,41.77,0,3944337,10
3944637,325.57,330.2,293.1,205.8,325.32,2.432,-0.332,-0.446,-9,2.2,2.2,2.3,2.2,0,48,139,141,44.39585876,-110.5332413,9.1,41.77,0,3944387,10
3944687,325.62,330.2,293.1,209.3,325.37,2.192,-0.203,-0.402,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39585876,-110.5332413,9.1,41.77,0,3944437,10
3944737,325.67,334.6,293.1,209.3,325.42,1.952,-0.248,-0.378,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39585876,-110.5332413,9.1,41.77,0,3944487,10
3944787,325.72,334.6,293.1,204.5,325.45,1.71,-0.267,-0.361,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39585876,-110.5332413,9.1,41.77,0,3944537,10
3944837,325.77,334.6,293.1,204.5,325.49,1.468,-0.199,-0.335,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39585876,-110.5332413,9.1,41.77,0,3944587,10
3944887,325.82,334.6,293.1,207.2,325.53,1.225,-0.226,-0.319,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39585876,-110.5332413,9.1,41.77,0,3944637,10
3944937,325.87,328.5,293.1,207.2,325.55,0.981,-0.29,-0.315,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39586258,-110.5332413,9.1,41.77,0,3944687,10
3944987,325.92,328.5,293.1,207.2,325.56,0.737,-0.313,-0.316,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39586258,-110.5332413,9.1,41.77,0,3944737,10
3945037,325.97,328.5,293.1,207.2,325.58,0.494,-0.355,-0.325,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39586258,-110.5332413,9.1,41.77,0,3944787,10
3945087,326.02,328.5,293.1,205.3,325.59,0.252,-0.336,-0.328,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39586258,-110.5332413,9.1,41.77,0,3944837,10
3945137,326.07,327.5,293.1,205.3,325.61,0.012,-0.355,-0.334,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39586258,-110.5332336,9.1,41.77,0,3944887,10
3945187,326.12,327.5,293.1,202,325.62,-0.225,-0.393,-0.346,-6,2.2,2.2,2.3,2.2,0,48,136,144,44.39586258,-110.5332336,9.1,41.77,0,3944937,10
3945237,326.17,327.5,293.1,202,325.63,-0.458,-0.466,-0.37,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39586258,-110.5332336,9.1,41.77,0,3944987,10
3945287,326.22,327.5,293.1,203.1,325.63,-0.686,-0.531,-0.401,-7,2.2,2.2,2.3,2.2,0,48,137,143,44.39586258,-110.5332336,9.1,41.77,0,3945037,10
3945337,326.27,331.5,293.1,203.1,325.65,-0.909,-0.462,-0.415,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39586639,-110.5332336,9.1,41.77,0,3945087,10
3945387,326.32,331.5,293.1,202.7,325.65,-1.128,-0.584,-0.45,-8,2.2,2.2,2.3,2.2,0,48,138,142,44.39586639,-110.5332336,9.1,41.77,0,3945137,10
3945437,326.37,331.5,293.1,202.7,325.65,-1.342,-0.695,-0.499,-10,2.2,2.2,2.3,2.2,0,48,140,140,44.39586639,-110.5332336,9.1,41.77,0,3945187,10
